,account_id,account_owner,amount,authorized_date,category,category_id,date,iso_currency_code,location,merchant_name,name,payment_channel,payment_meta,pending,pending_transaction_id,transaction_code,transaction_id,transaction_type,unofficial_currency_code
0,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,657.48,,"['Service', 'Insurance']",18030000,2020-11-06,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",GEICO,GEICO,online,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Vg8g7pYzP7s7V4dXkx1EId5XkVwwa8Ir34pVX,special,
1,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,925.0,,"['Transfer', 'Withdrawal', 'Check']",21012001,2020-11-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,CHECK # 1055,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,XgagVpYzkVsV4OM8v79YsgvX3vZeAPi4p3OPB,special,
2,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,26.55,,"['Shops', 'Food and Beverage Store']",19025000,2020-11-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Country Bakery,Kohnen's Country Bakery,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,MgRgapVzjasa87J5LnjKUqZDYPdDxKsM1rPYE,place,
3,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,9.99,,['Service'],18000000,2020-11-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Payment to Youtube Premium,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,prprvbwkXvfLx5dE84kXHw5b95E6Z8tJV97QR,place,
5,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,79.99,,"['Service', 'Cable']",18009000,2020-11-02,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Spectrum,Payment to Spectrum,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,OEXEJpYz7JuJEon5gr0VhPmqNQrQY3H8EKOgj,special,
6,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,1419.81,,"['Transfer', 'Debit']",21006000,2020-11-02,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,To Share 0001,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Vg8g7pYzP7s7V4dXkx1bU0xoBmLm3EtrgNMj1,special,
8,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,400.0,,"['Transfer', 'Debit']",21006000,2020-11-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,To Share 0001,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,6wDwnXqpQnCMAVY0EO5XhP8Kzr6oEjCae6NRn,special,
9,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,5.0,,['Bank Fees'],10000000,2020-10-31,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,SERVICE CHARGE,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,LMRM4N9zn4C4RVqn9JKoCVYK7Bgaydf0LYBgn,special,
10,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-387.9,,"['Transfer', 'Credit']",21005000,2020-10-31,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,XX0000 TYPE: FED PAYMNT CO: XX0000 ACH ECC,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': 'ACH', 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,D0R0ypJzDyFy4PKxYgLvsmPJDRVnZNUZNoRby,special,
11,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-2496.4,,"['Transfer', 'Payroll']",21009000,2020-10-30,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Salary/Regular Income from DFAS,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,1rJrOX6pxOfX8ZYyPEaQF7dZPX9w0KUmV1gN1,special,
12,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,18.58,,"['Transfer', 'Third Party', 'PayPal']",21010004,2020-10-29,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Transfer to PayPal,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,PgRg8pYzq8s8p7RXPq0eiEdqBAMbPkCmyMAPw,special,
13,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,11.9,,"['Shops', 'Digital Purchase']",19019000,2020-10-28,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Amazon,Amazon,online,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,q4p40b6A90HLx5jRpE1vIvMzyJ3owEHJjaEpJ,digital,
14,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,32.99,,"['Transfer', 'Third Party', 'PayPal']",21010004,2020-10-26,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Transfer to PayPal,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,BAjABXaz0BsBY7kvyzwQU43L07O6v9I9Dx7E3,special,
15,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,22.04,,"['Food and Drink', 'Restaurants']",13005000,2020-10-25,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Subway,Subway,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,3awaEXDpzESoM0YnLmJbS10keDxagAFKveAyP,place,
16,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,8.65,,"['Shops', 'Digital Purchase']",19019000,2020-10-24,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Amazon,Amazon,online,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,y1p1ZbyJVZTwkK9nRN1xhqMK8OaREzcOzLgZg,digital,
17,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,31.01,,"['Food and Drink', 'Restaurants']",13005000,2020-10-24,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",El Patron,El Patron Bar And Grill,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,KgNgrY7zKrsr07vAweygSAJ5RmD4EPcQVZmw1,place,
18,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,12.36,,"['Food and Drink', 'Restaurants']",13005000,2020-10-20,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Subway,Subway,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,kkpk3OYqo3spB1kbKy0dSPZqvRnbOKCRP4vOp,place,
19,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,5.25,,"['Transfer', 'Debit']",21006000,2020-10-20,USD,"{'address': None, 'city': 'Seattle', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'WA', 'store_number': None}",,XX25 7 TH AVE-L SEATTLE WA Date XX 7523 Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,jKpKBOzPaBckRDboV3LBizj7dDQvKEfRzVj6w,special,
20,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,10.16,,"['Transfer', 'Debit']",21006000,2020-10-20,USD,"{'address': None, 'city': 'Seattle', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'WA', 'store_number': None}",,XX25 7 TH AVE-L SEATTLE WA Date XX 7523 Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,0jOjVXwpNVUjBEozR04kIqpzj6vOgYcr7Mvwo,special,
21,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,10.16,,"['Transfer', 'Debit']",21006000,2020-10-20,USD,"{'address': None, 'city': 'Seattle', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'WA', 'store_number': None}",,XX25 7 TH AVE-L SEATTLE WA Date XX 7523 Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,v6p6xbq4ZxtzLakBoJp6CPM9gmnv5aCmyB04g,special,
22,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,15.06,,"['Transfer', 'Debit']",21006000,2020-10-20,USD,"{'address': None, 'city': 'Seattle', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'WA', 'store_number': None}",,XX25 7 TH AVE-L SEATTLE WA Date XX 7523 Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Ak0kqX4z9qsqB5pnaQdviqEpbnr9JQc6pknDB,special,
23,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,20.49,,"['Food and Drink', 'Restaurants']",13005000,2020-10-19,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Curry Palace,Indian Curry Palace,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,bLMLdpYzPdfBPD6w1oEkUeQBv9QdmPFqQAD3L,place,
24,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,17.74,,"['Shops', 'Supermarkets and Groceries']",19047000,2020-10-19,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Target,Target,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,rapajbLvBjSNdDEV3JrPtmM7RB08x9UB9JwRn,place,
25,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,4.99,,"['Shops', 'Computers and Electronics']",19013000,2020-10-18,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Microsoft,Microsoft,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,7616pXBeEptAowevgjpQigqrN3qbv5CQ9O5Xq,place,
26,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,41.99,,"['Shops', 'Supermarkets and Groceries']",19047000,2020-10-18,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Safeway,Safeway,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,gBaB1OYLK1FPkR3Nm6gwfnyEQJygYkCqpZKP9,place,
27,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,9.83,,"['Travel', 'Gas Stations']",22009000,2020-10-16,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Southern California Gas Company,Payment to Southern California Gas Company,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,9DqDNXypENfr4pYRPmg0SV6yJO6xKwHdMaxEV,place,
28,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-2128.25,,"['Transfer', 'Payroll']",21009000,2020-10-16,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Salary/Regular Income from DFAS,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,OEXEJpYz7JuJEon5grvNC90L3408kat8AMgva,special,
29,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,5.57,,"['Food and Drink', 'Restaurants', 'Fast Food']",13005032,2020-10-16,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Taco Bell,Taco Bell,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Vg8g7pYzP7s7V4dXkxJPSp1ZEk1r5DfrpQjgE,place,
30,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,46.47,,"['Travel', 'Gas Stations']",22009000,2020-10-15,USD,"{'address': None, 'city': 'Bakersfield', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'CA', 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,EjRjKp8zQKUKa5ANL0DZiXZjDEZvg8UpAwnb1,place,
31,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,360.0,,"['Transfer', 'Withdrawal', 'Check']",21012001,2020-10-15,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,CHECK # 1054,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,MgRgapVzjasa87J5LnkvSzj4OPj5yXUMNQpag,special,
32,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,30.41,,"['Food and Drink', 'Restaurants', 'Fast Food']",13005032,2020-10-14,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Chipotle Mexican Grill,Chipotle Mexican Grill,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,n0p0kNYyqkF0vdqb4BrXSdewbBerXvtAx8pvK,place,
33,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,0.04,,['Bank Fees'],10000000,2020-10-14,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Fee VISA INTERNATIONAL SERVICE ASSESSMENT Date Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,RgRg5XYz35s5xEqMB4rzTjbgm1bKpkUyk8qmv,special,
34,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,3.99,,"['Transfer', 'Third Party', 'PayPal']",21010004,2020-10-14,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Transfer to PayPal,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,QgRgZpYzrZsZo7bBqOj9IaD3nJDEpmUEKk4qY,special,
35,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,7.49,,"['Shops', 'Digital Purchase']",19019000,2020-10-12,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Steam,Steam,online,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,prprvbwkXvfLx5dE84ANInM5z3MkExCJdO4x0,digital,
36,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,50.63,,"['Shops', 'Office Supplies']",19039000,2020-10-11,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",OfficeMax,OfficeMax,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,XgagVpYzkVsV4OM8v7ZwFj9vD69QZVU4V7aLJ,place,
37,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,6.19,,"['Shops', 'Computers and Electronics', 'Video Games']",19013001,2020-10-11,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Steamgames,Steamgames,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,NmRmxpOzZxIeLRkQgnADiEqN03qRK4SRXKL7X,place,
38,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,15.7,,"['Food and Drink', 'Restaurants', 'Fast Food']",13005032,2020-10-10,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Chipotle Mexican Grill,Chipotle Mexican Grill,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,ePaPLOYwoLf1gqMDBdXQc7Djx0DXZgfdDjbgV,place,
39,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,41.01,,"['Travel', 'Gas Stations']",22009000,2020-10-09,USD,"{'address': None, 'city': 'Bakersfield', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'CA', 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Yg7gOeYzAOsAd79v0N5bi01Oq91QzZtQarqXB,place,
40,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,9.38,,"['Shops', 'Digital Purchase']",19019000,2020-10-08,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Amazon,Amazon,online,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,mvpvKNY3mKConqd0kDyaS0p7aBpyzntM0dvnX,digital,
41,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,29.39,,"['Food and Drink', 'Restaurants', 'Fast Food']",13005032,2020-10-08,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Chipotle Mexican Grill,Chipotle Mexican Grill,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,zPdP5bK8g5f6kEOBZabzCj8gPv8bQkUOm4nDg,place,
42,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,16.84,,"['Service', 'Utilities', 'Electric']",18068005,2020-10-07,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Payment to Southern California Edison,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,wLpLJbBa5JfQLZNzoXvyhbM5NKMvrJtLEZvzb,special,
43,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,37.88,,"['Shops', 'Supermarkets and Groceries']",19047000,2020-10-07,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Target,Target,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,d1a16OYdo6TVgrLayxoeFJ49Do4d5gIbq9Q6Y,place,
44,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,38.86,,"['Travel', 'Gas Stations']",22009000,2020-10-05,USD,"{'address': None, 'city': 'Bakersfield', 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': 'CA', 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,6wDwnXqpQnCMAVY0EO5XhP8Y5M8n1xUae6NzR,place,
45,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,79.99,,"['Service', 'Cable']",18009000,2020-10-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",Spectrum,Payment to Spectrum,in store,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,1rJrOX6pxOfX8ZYyPEaQF7dAnRdo4yfmV1g79,special,
